v_idStart, v_idEnd
55,46
55,54
55,35
55,20
55,63
55,38
51,25
51,59
51,12
51,56
60,48
60,3
60,65
60,45
60,46
60,62
60,20
60,19
60,22
54,45
54,17
54,55
54,20
54,46
54,38
54,61
54,22
54,35
54,63
54,30
28,5
28,31
28,32
12,51
12,59
12,25
12,56
12,16
12,58
40,5
40,26
40,42
61,54
61,35
61,11
61,17
61,30
61,53
61,63
61,38
9,65
9,27
9,3
9,49
9,46
9,8
9,34
9,47
9,6
58,43
58,12
58,16
58,37
49,15
49,65
49,29
49,9
49,3
49,6
33,2
33,23
33,14
16,43
16,59
16,12
16,58
3,49
3,60
3,6
3,48
3,34
3,9
3,46
3,20
3,65
8,36
8,27
8,47
8,6
8,7
8,9
8,34
56,25
56,59
56,12
56,51
64,10
64,15
64,39
27,9
27,6
27,36
27,8
27,47
27,7
27,34
34,46
34,8
34,3
34,65
34,20
34,27
34,9
34,6
41,24
41,21
37,43
37,4
37,58
37,1
53,61
53,4
53,17
53,30
53,44
53,11
15,49
15,39
15,64
43,58
43,1
43,37
43,16
2,22
2,14
2,23
2,33
29,49
46,60
46,3
46,9
46,63
46,20
46,65
46,55
46,45
46,54
46,34
46,35
47,36
47,27
47,6
47,9
47,8
47,7
19,22
19,65
19,60
19,48
19,45
19,62
48,62
48,65
48,19
48,22
48,3
48,60
48,20
48,45
1,4
1,37
1,11
1,43
22,19
22,62
22,2
22,60
22,48
22,23
22,54
22,45
6,9
6,47
6,49
6,34
6,65
6,27
6,3
6,8
6,7
38,63
38,54
38,61
38,35
38,55
26,40
26,52
7,36
7,27
7,47
7,6
7,8
44,57
44,53
44,4
17,30
17,54
17,61
17,11
17,53
45,63
45,54
45,20
45,19
45,22
45,60
45,48
45,46
10,39
10,64
10,50
30,54
30,53
30,11
30,17
30,61
14,23
14,33
14,2
32,31
32,28
32,57
36,8
36,47
36,7
36,27
25,51
25,59
25,12
25,56
42,5
42,40
13,21
13,24
35,55
35,20
35,46
35,61
35,38
35,54
35,63
20,35
20,60
20,34
20,46
20,48
20,63
20,3
20,54
20,45
20,65
20,55
5,40
5,28
5,42
62,60
62,19
62,39
62,50
62,22
62,48
23,2
23,22
23,33
23,14
63,38
63,46
63,45
63,61
63,20
63,55
63,54
63,35
57,44
57,32
57,31
31,57
31,32
31,28
4,37
4,1
4,11
4,44
4,53
18,52
11,61
11,1
11,17
11,4
11,30
11,53
24,13
24,41
24,21
39,15
39,50
39,10
39,64
39,62
52,18
52,26
65,46
65,49
65,48
65,60
65,20
65,6
65,19
65,3
65,9
65,34
50,39
50,62
50,10
59,51
59,16
59,56
59,12
59,25
21,41
21,24
21,13
